orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
19,FUNDAÇÃO MUNICIPAL DE CULTURA,2,Diretoria Administrativa - FMC,1557653.00
19,FUNDAÇÃO MUNICIPAL DE CULTURA,3,Fundo Municipal de Cultura,496300.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,1,Diretoria Técnica - FME,1979369.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,2,Diretoria Administrativa - FME,1010225.00
20,FUNDAÇÃO MUNICIPAL DE ESPORTES,3,Fundo de Desenvolvimento do Esporte e Lazer FUNDEL,136000.00
21,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,1,Diretoria Adsministrativa - FHMN,631626.00
21,FUNDAÇÃO HOSPITALAR DE NAVEGANTES,2,Diretoria Clínica,215094.00
22,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÃNSITO,1,Diretoria Técnica - FMV,737780.00
22,FUNDAÇÃO MUNICIPAL DE VIGILÂNCIA E TRÃNSITO,2,Diretoria Administrativa - FMV,1953351.00
23,FUNDO MUNICIPAL DE ASSISTÊNCIA SOCIAL,1,Fundo Municipal de Assistência Social,1880841.00
24,FUNDO MUN. DOS DIREITOS DA CRIANÇA E ADOLESCENTE,1,Fundo Mun. dos Direitos da Criança e Adolescente,196271.00
25,FUNDO MUNICIPAL DE SAÚDE,1,Diretoria Administrativa,31890663.25
25,FUNDO MUNICIPAL DE SAÚDE,5,Bloco Atenção Básica,7705260.00
25,FUNDO MUNICIPAL DE SAÚDE,6,Bloco Assistência Farmacêutica,974402.00
25,FUNDO MUNICIPAL DE SAÚDE,7,Bloco Gestão SUS,84504.00
25,FUNDO MUNICIPAL DE SAÚDE,8,Bloco Investimento,2757416.00
25,FUNDO MUNICIPAL DE SAÚDE,9,Bloco Média e Alta Complexidade Ambulatorial e Hos,9738061.00
25,FUNDO MUNICIPAL DE SAÚDE,10,Bloco Vigilância em Saúde,1283652.00
27,FUNDO MUN.REEQUIP.CORPO BOMBEIROS DE NAVEGANTES,1,Fundo Mun. Reequip.Corpo  Bombeiros de Navegantes,990195.00
28,SECRETARIA MUNICIPAL DE SANEAMENTO BÁSICO,1,"Diretoria Adm.,Financeira,Planejamento e Projetos",1510000.00
28,SECRETARIA MUNICIPAL DE SANEAMENTO BÁSICO,2,"Diretoria de Operações,Expansão e Comércio",17145220.00
29,INSTITUTO PREV. SOCIAL SERV. MUNIC. NAVEGANTES,1,Diretoria Executiva,39249333.56
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,1,Diretoria de Controle Preventivo,50000.00
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,2,"Diretoria Adm., Financeira e de Planejamento",825000.00
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,3,Diretoria de Ouvidoria,50000.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,1,Diretoria de Tributos Imobiliários e Dívida Ativa,350000.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,2,Diretoria de Tributos Mobiliários e Fiscalização,220000.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,3,Diretoria de Movimento Econômico,20000.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,4,Diretoria de Indústria e Comércio,2424875.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,5,Diretoria do Sine,50000.00
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",1,Diretoria de Políticas da Criança e do Adolescente,1268480.00
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",2,Diretoria de Políticas da Juventude,200000.00
33,SECRETARIA DE PLANEJAMENTO URBANO,1,Dir. de Fisc.Obras/Proj. Públicos/Análise Projetos,1650000.00
99,RESERVA DE CONTINGÊNCIA,99,Reserva de Contingência,1114578.23
