orgaoCodigo,orgaoDescricao,unidadeCodigo,unidadeDescricao,valorOrcado
25,FUNDO MUNICIPAL DE SAÚDE,8,Bloco Investimento,7033430.64
25,FUNDO MUNICIPAL DE SAÚDE,9,Bloco Média e Alta Complexidade Ambulatorial e Hos,5959959.00
25,FUNDO MUNICIPAL DE SAÚDE,10,Bloco Vigilância em Saúde,1397455.60
27,FUNDO MUN.REEQUIP.CORPO BOMBEIROS DE NAVEGANTES,1,Fundo Mun. Reequip.Corpo  Bombeiros de Navegantes,993500.00
28,SECRETARIA MUNICIPAL DE SANEAMENTO BÁSICO,1,"Diretoria Adm.,Financeira,Planejamento e Projetos",22832205.00
29,INSTITUTO PREV. SOCIAL SERV. MUNIC. NAVEGANTES,1,Diretoria Executiva,38298048.42
30,SECRETARIA MUNICIPAL DE GESTÃO E CONTROLE,1,Diretoria de Controle Preventivo,939500.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,1,Diretoria de Tributos Imobiliários e Dívida Ativa,3621620.00
31,SECRETARIA MUNICIPAL DE DESEV. ECONÔMICO E RECEITA,4,Diretoria de Indústria e Comércio,55000.00
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",1,Diretoria de Políticas da Criança e do Adolescente,1091500.00
32,"SECRETARIA MUN.CRIANÇA,ADOLESCENTE E JUVENTUDE",2,Diretoria de Políticas da Juventude,120000.00
33,SECRETARIA DE PLANEJAMENTO URBANO,1,Dir. de Fisc.Obras/Proj. Públicos/Análise Projetos,1997600.00
99,RESERVA DE CONTINGÊNCIA,99,Reserva de Contingência,984511.83
